species,region,production_system,group,age_group,sex,year,ahle_component,cause,mean,sd,lower95,upper95
All Poultry,National,Village,Juvenile,Juvenile,Overall,2020,Production loss,External,8525303676.73363,3707063715.18649,8295541709.22272,8755065644.24454
All Poultry,National,Village,Juvenile,Juvenile,Overall,2020,Production loss,Infectious,17125780771.7074,7184470482.65852,16680490860.2183,17571070683.1964
All Poultry,National,Village,Juvenile,Juvenile,Overall,2020,Production loss,Non-infectious,16439355068.9861,6941978088.95451,16009094715.596,16869615422.3762
All Poultry,National,Village,Juvenile,Juvenile,Overall,2021,Mortality,External,194869916.301151,30482886.441164,192980602.142497,196759230.459805
All Poultry,National,Village,Juvenile,Juvenile,Overall,2021,Mortality,Infectious,529132578.629089,37984090.6709273,526778343.558645,531486813.699534
All Poultry,National,Village,Juvenile,Juvenile,Overall,2021,Mortality,Non-infectious,267207245.135568,30530066.9675393,265315006.751327,269099483.519808
All Poultry,National,Village,Juvenile,Juvenile,Overall,2021,Production loss,External,8951568860.57031,3892416900.94582,8710318794.68386,9192818926.45677
All Poultry,National,Village,Juvenile,Juvenile,Overall,2021,Production loss,Infectious,17982069810.2928,7543694006.79144,17514515403.2293,18449624217.3563
All Poultry,National,Village,Juvenile,Juvenile,Overall,2021,Production loss,Non-infectious,17261322822.4354,7289076993.40224,16809549451.3758,17713096193.495
All Small Ruminants,National,Crop livestock mixed,Adult female,Adult,Female,2017,Mortality,External,1113040916.10888,159628478.333818,1103147222.32032,1122934609.89745
All Small Ruminants,National,Crop livestock mixed,Adult female,Adult,Female,2017,Mortality,Infectious,2252203993.00474,212938364.119449,2239006178.97791,2265401807.03157
All Small Ruminants,National,Crop livestock mixed,Adult female,Adult,Female,2017,Mortality,Non-infectious,1468055193.7091,197456539.398614,1455816935.48757,1480293451.93063
All Small Ruminants,National,Crop livestock mixed,Adult female,Adult,Female,2017,Production loss,External,2161722148.63911,886866086.833395,2106754629.14524,2216689668.13299
All Small Ruminants,National,Crop livestock mixed,Adult female,Adult,Female,2017,Production loss,Infectious,4824094479.57399,1890288419.30902,4706935342.38293,4941253616.76505
All Small Ruminants,National,Crop livestock mixed,Adult female,Adult,Female,2017,Production loss,Non-infectious,3385467783.97628,1348011265.37708,3301918715.39915,3469016852.55341
All Small Ruminants,National,Crop livestock mixed,Adult female,Adult,Female,2018,Mortality,External,1168692961.8842,167609902.179051,1158304583.41064,1179081340.35776
All Small Ruminants,National,Crop livestock mixed,Adult female,Adult,Female,2018,Mortality,Infectious,2364814192.61975,223585282.370116,2350956487.88881,2378671897.35069
All Small Ruminants,National,Crop livestock mixed,Adult female,Adult,Female,2018,Mortality,Non-infectious,1541457953.37349,207329366.397812,1528607782.23907,1554308124.50791
All Small Ruminants,National,Crop livestock mixed,Adult female,Adult,Female,2018,Production loss,External,2269808256.07107,931209391.17502,2212092360.60251,2327524151.53963
All Small Ruminants,National,Crop livestock mixed,Adult female,Adult,Female,2018,Production loss,Infectious,5065299203.55269,1984802840.27437,4942282109.50209,5188316297.6033
All Small Ruminants,National,Crop livestock mixed,Adult female,Adult,Female,2018,Production loss,Non-infectious,3554741173.17509,1415411828.64586,3467014651.16911,3642467695.18107
All Small Ruminants,National,Crop livestock mixed,Adult female,Adult,Female,2019,Mortality,External,1227127609.94971,175990397.219946,1216219812.55669,1238035407.34274
All Small Ruminants,National,Crop livestock mixed,Adult female,Adult,Female,2019,Mortality,Infectious,2483054902.21719,234764546.531189,2468504312.24706,2497605492.18732
All Small Ruminants,National,Crop livestock mixed,Adult female,Adult,Female,2019,Mortality,Non-infectious,1618530851.0221,217695834.745576,1605038171.32923,1632023530.71497
All Small Ruminants,National,Crop livestock mixed,Adult female,Adult,Female,2019,Production loss,External,2383298668.87462,977769860.733727,2322696978.63263,2443900359.11661
All Small Ruminants,National,Crop livestock mixed,Adult female,Adult,Female,2019,Production loss,Infectious,5318564163.73032,2084042982.28799,5189396214.9772,5447732112.48345
All Small Ruminants,National,Crop livestock mixed,Adult female,Adult,Female,2019,Production loss,Non-infectious,3732478231.83385,1486182420.07809,3640365383.72757,3824591079.94012
All Small Ruminants,National,Crop livestock mixed,Adult female,Adult,Female,2020,Mortality,External,1288483990.41987,184789917.016127,1277030803.16121,1299937177.67853
All Small Ruminants,National,Crop livestock mixed,Adult female,Adult,Female,2020,Mortality,Infectious,2607207647.2961,246502773.898288,2591929527.82495,2622485766.76724
All Small Ruminants,National,Crop livestock mixed,Adult female,Adult,Female,2020,Mortality,Non-infectious,1699457393.5541,228580626.509401,1685290079.87494,1713624707.23326
All Small Ruminants,National,Crop livestock mixed,Adult female,Adult,Female,2020,Production loss,External,2502463602.31835,1026658353.77037,2438831827.56427,2566095377.07244
All Small Ruminants,National,Crop livestock mixed,Adult female,Adult,Female,2020,Production loss,Infectious,5584492371.91684,2188245131.40229,5448866025.72606,5720118718.10762
All Small Ruminants,National,Crop livestock mixed,Adult female,Adult,Female,2020,Production loss,Non-infectious,3919102143.42554,1560491541.08193,3822383652.91395,4015820633.93712
All Small Ruminants,National,Crop livestock mixed,Adult female,Adult,Female,2021,Mortality,External,1352908189.91483,194029412.805202,1340882343.29707,1364934036.5326
